Company,Job_Title,URL,Effective_URL,HTTP_Code,Reason
Habitat Health,"Manager, Strategy and Operations at Habitat Health",https://job-boards.greenhouse.io/habitathealth/jobs/5105442008,https://job-boards.greenhouse.io/habitathealth?error=true,200,Greenhouse redirect to ?error=true (job removed)
Highspot,"Sr. Manager, People Operations, EMEA at Highspot",https://jobs.lever.co/highspot/075d3adb-72b0-43b5-86ce-fdd7a313152d,https://jobs.lever.co/highspot/075d3adb-72b0-43b5-86ce-fdd7a313152d,404,HTTP 404
Hightouch,"Head of Sales, EMEA at Hightouch",https://boards.greenhouse.io/hightouch/jobs/5036699004,https://job-boards.greenhouse.io/hightouch?error=true,200,Greenhouse redirect to ?error=true (job removed)
HomeLight,Director of Strategic Partnerships at HomeLight,https://boards.greenhouse.io/homelight/jobs/2247043,https://job-boards.greenhouse.io/homelight?error=true,200,Greenhouse redirect to ?error=true (job removed)
Human Agency,"Chief of Staff - Boston, MA at Human Agency",https://job-boards.greenhouse.io/humanagency/jobs/7547791003,https://job-boards.greenhouse.io/humanagency?error=true,200,Greenhouse redirect to ?error=true (job removed)
HyperionDev,Director of Partnerships - EMEA at HyperionDev,https://boards.greenhouse.io/hyperiondev/jobs/5784728002,https://job-boards.greenhouse.io/hyperiondev?error=true,500,Greenhouse redirect to ?error=true (job removed)
Icertis,Partner Director - Deloitte Europe (Remote) at Icertis,https://jobs.lever.co/icertis/bf846c9e-f817-496d-a9b2-eb92695332ba,https://jobs.lever.co/icertis/bf846c9e-f817-496d-a9b2-eb92695332ba,404,HTTP 404
Immutable,Chief of Staff (Operations) at Immutable,https://jobs.lever.co/immutable/9ba4dd87-0955-44ae-92ec-ddd2a6aa516f,https://jobs.lever.co/immutable/9ba4dd87-0955-44ae-92ec-ddd2a6aa516f,404,HTTP 404
Jeeves,Head of Global Risk at Jeeves,https://jobs.lever.co/tryjeeves/7c0833ed-5bec-47a3-8ddd-a9eb228a856f,https://jobs.lever.co/tryjeeves/7c0833ed-5bec-47a3-8ddd-a9eb228a856f,404,HTTP 404
JetZero,Head of Defense Strategy & Military Affairs at JetZero,https://job-boards.greenhouse.io/jetzero/jobs/5167706008,https://job-boards.greenhouse.io/jetzero?error=true,200,Greenhouse redirect to ?error=true (job removed)
Jobgether,Chief of Staff Remote Work at Jobgether,https://jobs.lever.co/jobgether/bf56be25-2527-49da-86d7-131dbae0d410,https://jobs.lever.co/jobgether/bf56be25-2527-49da-86d7-131dbae0d410,404,HTTP 404
Jobgether,"Senior Manager, Expansion Operations (Remote from Kenya) at Jobgether",https://jobs.lever.co/jobgether/c9a304d1-f5e5-475d-b9a7-617581c9a90b,https://jobs.lever.co/jobgether/c9a304d1-f5e5-475d-b9a7-617581c9a90b,404,HTTP 404
Jobgether,Country Sales Manager - Brazil - REMOTE at Jobgether,https://jobs.lever.co/jobgether/9c70f2e2-a6de-4d96-9e7f-34822312c96a,https://jobs.lever.co/jobgether/9c70f2e2-a6de-4d96-9e7f-34822312c96a,404,HTTP 404
Jobgether,Senior Operations Strategy Director - REMOTE at Jobgether,https://jobs.lever.co/jobgether/45e93a9b-e072-4805-b9fb-b47b690ac1bc,https://jobs.lever.co/jobgether/45e93a9b-e072-4805-b9fb-b47b690ac1bc,404,HTTP 404
Jobgether,Director Strategic Operations and Transformation at Jobgether,https://jobs.lever.co/jobgether/0ea5af4e-9e8e-4732-9f16-488b8e316d5c,https://jobs.lever.co/jobgether/0ea5af4e-9e8e-4732-9f16-488b8e316d5c,404,HTTP 404
Jobgether,VP - EMEA Head of HR at Jobgether,https://jobs.lever.co/jobgether/f6967610-aeb8-49eb-8a09-339fc110599e,https://jobs.lever.co/jobgether/f6967610-aeb8-49eb-8a09-339fc110599e,404,HTTP 404
Jobgether,Principal RWD Strategy Lead - Fully remote (EMEA) at Jobgether,https://jobs.lever.co/jobgether/9fc9ddc6-c2c3-45cb-abf1-dea3898962c1,https://jobs.lever.co/jobgether/9fc9ddc6-c2c3-45cb-abf1-dea3898962c1,404,HTTP 404
Jupiter Intelligence,Director of Strategic Partnerships at Jupiter Intelligence,https://jobs.lever.co/jupiterintel/1d1ac74b-8cce-4a3e-ad3d-b4c3a4fdaa9d,https://jobs.lever.co/jupiterintel/1d1ac74b-8cce-4a3e-ad3d-b4c3a4fdaa9d,404,HTTP 404
Karat,Director of Strategic Initiatives (United States) at Karat,https://job-boards.greenhouse.io/karat/jobs/8228873002,https://job-boards.greenhouse.io/karat?error=true,200,Greenhouse redirect to ?error=true (job removed)
